Datetime (Local),Price (EUR/MWhe)
1 ,89.06
2 ,78.48
3 ,85.16
4 ,50
5 ,37.67
6 ,39.7
7 ,40.59
8 ,43.26
9 ,49.66
10 ,70.05
11 ,76.79
12 ,84.1
13 ,94.74
14 ,96.8
15 ,97.17
16 ,98.52
17 ,114.5
18 ,149.97
19 ,146.33
20 ,140.28
21 ,121.88
22 ,102.61
23 ,97.46
24 ,85.16
25 ,57.08
26 ,52.59
27 ,48.97
28 ,34.94
29 ,29.56
30 ,33.97
31 ,34.52
32 ,41.8
33 ,48.95
34 ,60.01
35 ,70.09
36 ,66.26
37 ,64.54
38 ,46.96
39 ,40.01
40 ,39.3
41 ,40.79
42 ,47.91
43 ,65.09
44 ,67.85
45 ,62.22
46 ,46.16
47 ,46.29
48 ,32.93
49 ,2.71
50 ,1.71
51 ,1.24
52 ,0.06
53 ,0.09
54 ,1.44
55 ,41.11
56 ,90.54
57 ,161.79
58 ,180.36
59 ,125.03
60 ,100.74
61 ,96.39
62 ,95.22
63 ,102.67
64 ,112.87
65 ,126.8
66 ,148.49
67 ,175.06
68 ,180
69 ,146.43
70 ,105.71
71 ,114.11
72 ,100.36
73 ,125.47
74 ,115.55
75 ,113.29
76 ,105.81
77 ,105
78 ,115.11
79 ,156.91
80 ,182.64
81 ,178.91
82 ,190
83 ,189.88
84 ,182.42
85 ,182.46
86 ,179.59
87 ,179
88 ,180.93
89 ,166.69
90 ,189.88
91 ,184.94
92 ,178.99
93 ,156.12
94 ,148.65
95 ,137.92
96 ,105
97 ,120.11
98 ,105.1
99 ,84.5
100 ,75.38
101 ,79.11
102 ,94.79
103 ,169.04
104 ,215.98
105 ,211.13
106 ,226.52
107 ,224.45
108 ,202.8
109 ,205
110 ,197.34
111 ,195.6
112 ,200
113 ,206.07
114 ,242.1
115 ,265
116 ,265
117 ,241.93
118 ,218.95
119 ,207.46
120 ,200
121 ,207.15
122 ,204.22
123 ,191.82
124 ,180.7
125 ,170.1
126 ,194.38
127 ,204.22
128 ,228.25
129 ,240.98
130 ,257.44
131 ,245.24
132 ,231.9
133 ,226
134 ,209.2
135 ,216.06
136 ,230.77
137 ,245.95
138 ,274.11
139 ,273.44
140 ,278.36
141 ,251.71
142 ,229.96
143 ,216.44
144 ,210
145 ,213.47
146 ,189
147 ,180
148 ,164.9
149 ,162.8
150 ,165
151 ,165.2
152 ,215.89
153 ,254.19
154 ,257.24
155 ,254.18
156 ,241.22
157 ,240.2
158 ,212.69
159 ,207.05
160 ,210.11
161 ,220.21
162 ,243.84
163 ,260
164 ,250
165 ,239.09
166 ,213.81
167 ,216.13
168 ,205.74
169 ,184.96
170 ,162.79
171 ,166
172 ,161.63
173 ,160
174 ,154.3
175 ,166
176 ,182.91
177 ,215.89
178 ,231
179 ,228.95
180 ,215.39
181 ,206.68
182 ,185
183 ,169.52
184 ,162.8
185 ,161.73
186 ,189.9
187 ,189.16
188 ,185.53
189 ,159.47
190 ,126.09
191 ,123.73
192 ,147.94
193 ,109.18
194 ,89.61
195 ,80.24
196 ,55.46
197 ,45.82
198 ,48.5
199 ,74.29
200 ,89.78
201 ,104.79
202 ,147.36
203 ,149.48
204 ,157.71
205 ,167.63
206 ,165.06
207 ,170.09
208 ,189.04
209 ,190.96
210 ,223.3
211 ,243.94
212 ,240
213 ,230.82
214 ,214.02
215 ,215.88
216 ,203.8
217 ,196.23
218 ,191.85
219 ,195.91
220 ,186.66
221 ,178.04
222 ,191.65
223 ,237.44
224 ,299.95
225 ,313.92
226 ,315
227 ,310.41
228 ,310.08
229 ,300
230 ,297.01
231 ,299.96
232 ,302.73
233 ,297.97
234 ,313.79
235 ,310.82
236 ,294.98
237 ,267.45
238 ,242.23
239 ,217.03
240 ,198.93
241 ,210.34
242 ,202.42
243 ,197.6
244 ,193
245 ,194.9
246 ,204.45
247 ,230.92
248 ,286.61
249 ,300.02
250 ,297.16
251 ,277.02
252 ,261.69
253 ,249.44
254 ,247.7
255 ,255.01
256 ,277.9
